Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering,triangles
Fujiwara no Mokou,Fujiwara no Mokou,,31,100,4,0.532164,0.577381,0.016081,0.004625,0.393548,183
Gengetsu,Gengetsu,,5,13,4,0.433333,0.458333,0.000939,0.003057,0.2,2
Genjii,Genjii,,10,58,4,0.464286,0.493132,0.00091,0.003658,0.4,18
Goliath Doll,Goliath Doll,,5,42,3,0.471503,0.489011,0,0.001914,1,10
Hakurei God,Hakurei God,,0,0,0,0,0,0,0.000815,0,0
Hata no Kokoro,Hata no Kokoro,,15,78,4,0.470284,0.506868,0.001616,0.003393,0.504762,53
Hatate Himekaidou,Hatate Himekaidou,,30,65,4,0.50838,0.560897,0.008126,0.003752,0.337931,147
Hecatia Lapislazuli,Hecatia Lapislazuli,,12,102,4,0.472727,0.503205,0.000368,0.004021,0.636364,42
Hieda no Akyuu,Hieda no Akyuu,,23,58,4,0.511236,0.549908,0.004578,0.003076,0.391304,99
Hina Kagiyama,Hina Kagiyama,,18,50,4,0.495913,0.530678,0.003646,0.00275,0.470588,72
Hisoutensoku,Hisoutensoku,,40,312,3,0.549849,0.60348,0.010581,0.010022,0.39359,307
Hong Meiling,Hong Meiling,,31,147,3,0.530612,0.576007,0.004873,0.005151,0.486022,226
Hourai,Hourai,,17,97,4,0.484043,0.520604,0.006122,0.004394,0.419118,57
Ibaraki-douji's Arm,Ibaraki-douji's Arm,,0,0,0,0,0,0,0.000815,0,0
Ichirin Kumoi,Ichirin Kumoi,,19,313,4,0.480211,0.52152,0.004816,0.01134,0.48538,83
Iku Nagae,Iku Nagae,,21,197,4,0.50838,0.544414,0.00182,0.005984,0.671429,141
Iwakasa,Iwakasa,,6,11,5,0.375258,0.402656,0.000235,0.001571,0.666667,10
Iwanagahime,Iwanagahime,,4,4,5,0.361829,0.382509,0.000031,0.001125,0.833333,5
Joon Yorigami,Joon Yorigami,,5,41,4,0.451613,0.473901,0.000087,0.003863,0.6,6
Junko,Junko,,23,181,4,0.505556,0.546245,0.007114,0.006909,0.359684,91
Kagerou Imaizumi,Kagerou Imaizumi,,3,5,4,0.366935,0.385989,0.00008,0.001332,0.666667,2
Kaguya Houraisan,Kaguya Houraisan,,30,262,4,0.524496,0.570971,0.008218,0.008979,0.448276,195
Kana Anaberal,Kana Anaberal,,4,4,4,0.449383,0.470238,0.000986,0.00121,0.333333,2
Kanako Yasaka,Kanako Yasaka,,27,287,4,0.504155,0.552656,0.0058,0.009435,0.430199,151
Kasen Ibaraki,Kasen Ibaraki,,27,137,4,0.50838,0.555403,0.005389,0.005828,0.364672,128
Keine Kamishirasawa,Keine Kamishirasawa,,25,74,4,0.52,0.559066,0.014413,0.003864,0.343333,103
Kikuri,Kikuri,,2,2,4,0.439614,0.458333,0,0.001026,1,1
Kisume,Kisume,,8,22,4,0.412698,0.444597,0.000139,0.001619,0.464286,13
Koakuma,Koakuma,,10,34,4,0.416476,0.451923,0.000366,0.001926,0.466667,21
Kogasa Tatara,Kogasa Tatara,,18,106,4,0.486631,0.524267,0.00088,0.004263,0.54902,84
Koishi Komeiji,Koishi Komeiji,,23,200,4,0.497268,0.540751,0.002045,0.006926,0.482213,122
Komachi Onozuka,Komachi Onozuka,,31,240,3,0.530612,0.576007,0.004836,0.007585,0.447312,208
Konngara,Konngara,,4,4,4,0.441748,0.463828,0.000056,0.001279,0.666667,4
Konohana-Sakuyahime,Konohana-Sakuyahime,,5,13,4,0.383966,0.408883,0.000403,0.001605,0.6,6
Kosuzu Motoori,Kosuzu Motoori,,8,26,4,0.471503,0.494963,0.000121,0.00188,0.75,21
Kosuzu's Grandfather,Kosuzu's Grandfather,,1,1,4,0.349328,0.362179,0,0.00087,0,0
Kotohime,Kotohime,,4,4,4,0.444988,0.466575,0.00007,0.001264,0.5,3
Kurumi,Kurumi,,5,9,4,0.45614,0.477564,0.000034,0.001305,0.8,8
Kutaka Niwatari,Kutaka Niwatari,,0,0,0,0,0,0,0.000815,0,0
Kyouko Kasodani,Kyouko Kasodani,,13,48,4,0.452736,0.489469,0.000773,0.002572,0.448718,35
Layla Prismriver,Layla Prismriver,,4,10,4,0.346667,0.364469,0,0.001146,1,6
Letty Whiterock,Letty Whiterock,,11,40,3,0.47644,0.503663,0.000961,0.00218,0.418182,23
Lily White,Lily White,,18,184,3,0.45614,0.500916,0.004544,0.006641,0.313725,48
Lord Tsukuyomi,Lord Tsukuyomi,,5,15,4,0.384778,0.409799,0.000049,0.001331,0.6,6
Louise,Louise,,3,10,4,0.382353,0.403388,0.000054,0.001754,0.666667,2
Luna Child,Luna Child,,20,246,3,0.497268,0.534799,0.002667,0.007485,0.473684,90
Lunasa Prismriver,Lunasa Prismriver,,16,95,4,0.436451,0.481227,0.002307,0.003998,0.45,54
Lyrica Prismriver,Lyrica Prismriver,,22,337,3,0.515581,0.550366,0.007048,0.011216,0.562771,130
Mai,Mai,,9,877,3,0.410835,0.444139,0.001337,0.013643,0.416667,15
Mai Teireida,Mai Teireida,,6,848,3,0.376812,0.402015,0.000214,0.013015,0.6,9
Mamizou Futatsuiwa,Mamizou Futatsuiwa,,32,178,4,0.52149,0.572802,0.004825,0.006832,0.415323,206
Maribel Hearn,Maribel Hearn,,9,31,4,0.471503,0.496795,0.000373,0.003035,0.638889,23
Marisa Kirisame,Marisa Kirisame,,109,1684,3,0.710938,0.798535,0.14749,0.051977,0.16191,953
Marisa's unnamed father,Marisa's unnamed father,,0,0,0,0,0,0,0.000815,0,0
Master Big Catfish,Master Big Catfish,,14,81,4,0.486631,0.516941,0.000529,0.003506,0.527473,48
Matenshi,Matenshi,,5,5,4,0.443902,0.467491,0.000359,0.001296,0.3,3
Medicine Melancholy,Medicine Melancholy,,20,107,4,0.505556,0.540751,0.005883,0.004111,0.557895,106
Meira,Meira,,4,12,4,0.443902,0.465659,0.000088,0.001554,0.5,3
Merlin Prismriver,Merlin Prismriver,,13,95,4,0.418391,0.459249,0.001334,0.0041,0.5,39
Mima,Mima,,11,129,4,0.47644,0.504121,0.001795,0.005666,0.381818,21
Minamitsu Murasa,Minamitsu Murasa,,17,105,4,0.484043,0.520604,0.001933,0.004383,0.463235,63
Minoriko Aki,Minoriko Aki,,9,62,4,0.471503,0.496795,0.000106,0.003185,0.722222,26
Mishaguji,Mishaguji,,5,22,4,0.390558,0.416209,0.000049,0.001491,0.4,4
